[(3, 1.6479184330021646)
(7, 6.810685521693596)
(15, 20.310376508266575)
(31, 53.226801669519766)
(63, 130.5087438813333)
(127, 307.6058799901205)
(255, 706.5111020076993)
(511, 1593.3924302970465)
(1023, 3544.9480727842565)
(2047, 7803.297654424329)
(4095, 17030.12628739798)
(8191, 36903.69564430115)
(16383, 79490.31182905419)
(32767, 170342.15249818744)
(65535, 363402.7038277829)
(131071, 772237.1998788744)
(262143, 1635332.6321826854)
(524287, 3452376.0306156813)
(1048575, 7268167.5485566845)]
